[06.03.2026 9:58:49] HEAD / from 127.0.0.1:64867
[06.03.2026 9:59:17] GET / from 192.168.0.96:55912
[06.03.2026 10:01:13] GET / from 192.168.0.96:55965
[06.03.2026 10:01:31] GET / from 192.168.0.96:55971
[06.03.2026 10:01:48] GET / from 127.0.0.1:52541
[06.03.2026 10:01:55] GET /api/command from 192.168.0.96:55971
[06.03.2026 10:01:56] GET /api/command from 192.168.0.96:55971
[06.03.2026 10:01:57] GET /api/command from 192.168.0.96:55971
[06.03.2026 10:01:57] GET /api/command from 192.168.0.96:55971
[06.03.2026 10:01:58] GET /api/command from 192.168.0.96:55971
[06.03.2026 10:01:59] GET /api/command from 192.168.0.96:55971
[06.03.2026 10:02:02] GET /api/command from 192.168.0.96:55971
[06.03.2026 10:02:06] GET /api/command from 192.168.0.96:55971
[06.03.2026 10:02:08] GET /api/command from 192.168.0.96:55971
[06.03.2026 10:02:09] GET /api/command from 192.168.0.96:55971
[06.03.2026 10:02:10] GET /api/command from 192.168.0.96:55971
[06.03.2026 10:02:10] GET /api/command from 192.168.0.96:55971
[06.03.2026 10:02:11] GET /api/command from 192.168.0.96:55971
[06.03.2026 10:02:11] GET /api/command from 192.168.0.96:55971
[06.03.2026 10:02:12] GET /api/command from 192.168.0.96:55971
[06.03.2026 10:02:21] GET /api/command from 192.168.0.96:55971
[06.03.2026 10:06:56] GET /api/state from 127.0.0.1:52630
[06.03.2026 10:07:05] GET / from 192.168.0.96:56025
[06.03.2026 10:07:05] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:06] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:07] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:08] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:09] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:10] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:11] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:11] GET / from 192.168.0.96:56025
[06.03.2026 10:07:11] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:12] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:13] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:14] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:15] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:16] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:17] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:18] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:19] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:20] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:21] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:22] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:23] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:24] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:25] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:26] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:27] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:28] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:29] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:30] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:31] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:32] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:33] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:34] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:35] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:36] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:37] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:38] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:39] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:40] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:41] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:42] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:43] GET /api/state from 192.168.0.96:56025
[06.03.2026 10:07:44] GET /api/state from 192.168.0.96:56025
